mass,parallax,alpha_min_arcsec,spectral_type,distance_pc,Mercury_like_detectable,Earth_like_detectable,Super_Earth_detectable,Sub_Neptune_detectable,Neptune_like_detectable,Sub_Saturn_detectable,Saturn_like_detectable,Jupiter_like_detectable,Super_Jupiter_detectable,HZ_inner_au,HZ_outer_au
2.2990193,10.788256585918775,0.000125812659212,A,92.69338303514547,0,0,0,0,0,0,0,0,0,5.036033293514367,8.574280525955968
1.8642883,19.34888374650627,0.0002376013390073,A,51.68256800243398,0,0,0,0,0,0,0,0,0,3.730100470157239,6.489318381304185
1.750133,13.87556238988459,0.0001085878505794,A,72.0691509216959,0,0,0,0,0,0,0,0,1,3.197872571135321,5.578078500972398
2.3926795,11.778060331099724,0.0001465349811617,A,84.90362350747354,0,0,0,0,0,0,0,0,0,4.606310769877712,7.818416078890415
2.1708634,14.129980039561076,0.0001655603612226,A,70.77150832486691,0,0,0,0,0,0,0,0,0,4.305772626163861,7.3340484272739666
1.9169903,12.72239611623408,9.820937969154763e-05,A,78.6015457201475,0,0,0,0,0,0,0,0,1,3.5916574653662945,6.195209794503222
1.7999871,10.874088100434149,0.0001095796346857,A,91.9617342405084,0,0,0,0,0,0,0,0,1,3.5771265840731097,6.253242156687221
1.8227874,16.26062187406299,0.0002298479323298,A,61.49826296588822,0,0,0,0,0,0,0,0,0,3.741619792701667,6.54088954227403
2.121308,11.186508576737063,0.0001429705997232,A,89.3933967993868,0,0,0,0,0,0,0,0,0,3.742049172084508,6.373518934133499
1.8420526,19.498875897055733,0.0002356121594578,A,51.28500767323704,0,0,0,0,0,0,0,0,0,3.602175460032155,6.260645972297976
2.0724003,16.64777938173386,0.0003365463919377,A,60.068071366756094,0,0,0,0,0,0,0,0,0,4.3574988278372055,7.491009234645775
2.289996,13.86311432838018,0.0001802445886022,A,72.13386374177323,0,0,0,0,0,0,0,0,0,4.754764377240935,8.072941744480678
2.0959117,10.228966647071395,0.0001088930670884,A,97.76158574984748,0,0,0,0,0,0,0,0,0,3.599522788093038,6.136793488446106
1.7506939,13.513972318940434,8.283072552999427e-05,A,73.99748766677992,0,0,0,0,0,0,0,0,1,3.412656785910409,5.98193213969672
1.9417031,17.031241313354318,0.00021983109394,A,58.715626277686106,0,0,0,0,0,0,0,0,0,4.214068180848838,7.331299134300531
1.6736676,17.50450116658979,8.623067466348847e-05,A,57.1281632354462,0,0,0,0,0,0,0,0,1,2.983465163593797,5.240904407596172
1.9130528,11.49482644797683,0.0001212631737804,A,86.99565883189189,0,0,0,0,0,0,0,0,0,3.736107241307676,6.464648856370855
1.850965,10.131887051160067,0.0001133024749281,A,98.69829726196004,0,0,0,0,0,0,0,0,0,3.782904228219597,6.601541584143349
1.8054436,15.104043367238312,0.0004260163985974,A,66.20743702107393,0,0,0,0,0,0,0,0,0,3.72000631699384,6.512855084692584
